Ident,Lat,Lon,Alt
E31,32.98616250,-112.02569612,369
VI90,26.44756650,82.56815700,88
RJOE,34.52998900,136.67526900,6
PAKH,56.93920222,-154.18313500,15
LTBT,38.80895025,27.83378700,80
Z13,60.90483650,-161.42243563,4
PFAK,60.90289150,-161.23059450,9
FO22,-1.12943750,13.92050550,506
WAKA,-4.60416185,137.65836699,51
60Q,38.75406861,-120.89910584,486
E99,34.77228611,-103.85607750,1481
LTAE,40.07891800,32.56562500,843
RJSK,39.61564450,140.21866550,95
CYKD,68.22333150,-135.00583500,7
NE38,40.70810719,-98.55954722,617
VAAK,20.69905950,77.05862650,304
9G3,43.02083900,-78.48293000,256
KCAK,40.91606874,-81.44218901,374
KAKR,41.03758475,-81.46627425,325
Y40,42.80582666,-96.56308834,348
LCRA,34.59041700,32.98775000,23
UATE,43.86024253,51.09153477,22
LGPZ,38.92546500,20.76531100,3
UATT,50.24562400,57.20711550,225
CYKO,60.81861100,-78.14861250,23
DNAK,7.24678200,5.30100250,335
BIAR,65.65657425,-18.07197484,2
OEAH,25.28530550,49.48518900,179
FY03,-21.51250000,15.57305000,1163
OMAL,24.26169000,55.60913100,265
FYAA,-27.99310000,17.59860000,457
OS73,32.78669300,35.71796400,370
HEAL,30.92444450,28.46141700,44
OY74,13.17467500,44.76508900,274
OE52,26.61206500,45.32162650,579
ORAA,33.78121150,42.43686150,188
OYBA,18.71923200,50.83696100,277
OEBA,20.29612600,41.63428300,1672
HL68,32.45286150,23.11854850,10
OMAM,24.23958275,54.54941500,23
5Q0,36.51439416,-119.76402639,77
OYGD,16.19324850,52.17324850,41
HL81,29.53028250,12.94379850,637
OMAH,24.07398050,52.46364450,15
HE44,30.59881400,32.23468650,12
OESK,29.78513200,40.10000450,689
HL69,29.19807650,16.00120550,258
HL59,31.99848750,21.19175400,244
OE51,24.05153750,47.65421400,503
OTBK,25.62959150,51.50672100,3
HL70,27.25773650,21.61812500,152
OE46,20.47591100,44.75751250,678
HE32,30.96764850,31.43428875,4
HL60,32.52528650,20.87504850,290
3TE,42.02500124,-83.93919582,248
OS70,34.56904200,36.57283300,539
ORSH,34.67422675,43.54432200,137
OM01,25.75552250,55.96016350,5
ORTI,33.52383600,44.25672950,37
ORAT,33.33804175,43.59707700,84
OTBH,25.11731550,51.31498900,40
HL57,24.18067625,14.53623000,475
SDUO,-12.17505450,-38.38018600,173
PAUK,62.68004416,-164.65992528,3
WX04,-4.26181800,137.89275300,1007
YAMN,-32.53763197,137.69295505,48
L92,37.36246083,-115.19446223,1134
3N9,34.36283722,-107.49559667,1969
KALM,32.84184450,-105.98800700,1280
MM45,27.03788200,-108.94828500,400
5H2,39.34365944,-89.42370112,196
0NY4,42.95755888,-78.55141389,229
SC07,33.67583333,-80.94972223,112
EFAL,62.55440000,23.57690000,124
SE01,-2.16704100,-79.28383500,46
LEAB,38.94852750,-1.86350000,701
WI50,42.71806194,-89.42372945,248
YABA,-34.94469450,117.81110533,71
KALB,42.74935675,-73.80172780,87
T23,32.71875000,-99.26750000,434
S12,44.63781500,-123.05945000,69
K19,40.26194450,-94.33985950,270
YAPK,-13.08624654,131.03675814,119
SFAB,-52.20524840,-60.53406761,69
LIMG,44.05057650,8.12739600,45
SN13,37.65834694,-97.77449528,421
1N3,40.97505666,-78.24973612,544
LFAQ,49.97152900,2.69766000,111
MA88,42.39008694,-72.93093112,434
KOAJ,34.82915850,-77.61214200,29
5Y1,46.03584400,-84.41975550,232
KAEL,43.68157625,-93.36726800,384
KSPG,27.76505125,-82.62674450,2
PS52,40.19507694,-78.83279973,631
SSTN,-21.67861111,-48.21194444,696
SVMD,8.58196900,-71.16139000,1526
MUTD,21.78846250,-79.99720300,38
SKSO,5.67620950,-72.97029450,2486
KFEP,42.24701117,-89.58201350,262
LFKA,45.62625300,6.32868800,315
8A0,34.22910950,-86.25575850,315
4C8,40.99626650,-92.76569050,294
YALH,-24.71035184,144.29087258,231
YABS,-27.27954274,120.38469949,510
KBVN,41.72857800,-98.05573957,550
U40,42.39768861,-113.55750695,1456
IL86,41.52086833,-89.47898251,241
IL06,41.64003361,-89.39287223,242
IL09,41.63142277,-89.40509473,244
MD48,39.47343999,-76.50024278,99
MPMG,8.97334050,-79.55558500,9
KAEG,35.14507675,-106.79456750,1779
KABQ,35.03964687,-106.61058200,1632
YMAY,-36.06676000,146.95933791,164
LERI,37.95111000,-1.23031900,76
41IL,42.06947027,-89.03343251,238
SIQU,-20.08638889,-51.30888889,390
YALC,-22.80179362,134.40307343,610
MS28,31.86877166,-91.13483056,82
UEEA,58.60429650,125.40964209,683
SDWC,-7.36027778,-54.82972222,213
SDWM,-10.06361111,-52.99666667,900
SDVU,-7.20972223,-52.90527778,1000
SDWJ,-8.72527778,-53.39027778,335
SDNV,-9.50388889,-54.01194444,305
SDNW,-10.78833333,-53.07166668,350
SDOZ,-8.10083334,-58.28444444,265
SJBN,-8.16666667,-54.82972222,335
YALY,-22.48833307,139.66349350,225
EGJA,49.70656017,-2.21517650,89
08KS,39.03472194,-97.58003195,381
YADR,-26.66327719,150.19449913,305
YADG,-35.28797095,138.49498932,33
SSAL,-29.80027770,-55.76305770,110
SSLT,-29.81266650,-55.89336650,140
SA19,-33.34861111,-63.73000000,210
5A8,59.28256166,-158.61767250,20
Z35,59.28092333,-158.59720028,46
LFOF,48.44784500,0.10948800,146
SDWQ,-1.91694444,-54.72277778,31
OSAP,36.18067500,37.22435700,389
CYLT,82.51777800,-62.28055550,30
CYAL,50.57598100,-126.90928600,0
18TE,32.58519300,-95.06392500,119
SPAR,-11.68305590,-69.33305360,243
LILA,44.92444230,8.62555600,91
ENAL,62.56037100,6.11016500,21
FAAB,-28.57288533,16.53113633,30
NC59,35.85068805,-81.14397028,338
NY82,42.58063583,-73.61622723,160
KISW,44.35996850,-89.83947550,311
E80,34.64517900,-106.83370100,1583
5T3,30.27186972,-98.11695778,381
KAMT,38.85147400,-83.56626100,273
NZLX,-45.21072217,169.37127817,229
LGAX,40.65107500,22.48881500,8
I99,40.23250222,-85.63752347,274
N85,40.58763666,-75.01942514,146
YALX,-19.06413922,136.71555409,237
HEAX,31.18371525,29.94760225,-2
KAEX,31.32735350,-92.54824425,27
LGAL,40.85586950,25.95626400,7
AL5,52.06668900,-123.26672400,701
SNFE,-21.43139300,-45.93215000,875
SPAS,-2.79612950,-76.46661650,222
SPNC,-9.87881100,-76.20479600,1850
LEAT,41.54799846,0.65217858,213
SKCL,3.54322100,-76.38158750,964
SKVP,10.43504050,-73.24950550,139
5OK8,34.67507583,-97.85586917,335
M66,38.34303500,-97.21324150,437
SKLT,-4.19316650,-69.94268200,84
NZAN,-40.69799800,175.85531620,152
BIAL,63.54019550,-18.44995120,49
5OH0,40.90477583,-83.64465334,261
DAAG,36.69752100,3.21307925,25
LIEA,40.63213200,8.29077400,27
SIWF,-14.18555556,-57.55055556,620
KAXA,43.07812625,-94.27174750,372
OKAS,29.34674000,47.52075150,144
ORTL,30.93556850,46.08999300,6
LEAL,38.28216900,-0.55815700,43
CZAA,55.48145600,-129.48466700,0
YACD,-24.26952173,145.48823993,301
KALI,27.74113300,-98.02689250,54
YBAS,-23.80445162,133.89522021,545
9FL6,26.59840416,-81.13284723,9
32FD,26.51924138,-81.38174223,10
LPJO,41.31666560,-7.44999980,780
SJXJ,-21.44722223,-54.38611111,421
ESGI,57.94971500,12.57804700,69
7TS2,29.83133250,-97.88917056,192
OR03,43.08737277,-119.97607334,1314
RPMA,6.36638200,124.75129450,201
VIAL,25.43820550,81.73364875,98
PFAL,66.55181800,-152.62215600,133
OPLA,31.52156175,74.40359100,217
YALM,-24.26512570,134.40284258,386
CL36,38.56935444,-122.80388001,49
YALN,-30.37615461,142.61391406,129
FAAL,-22.67901800,29.05551800,792
KAGC,40.35440583,-79.93084233,382
8OI3,41.37338888,-80.66896639,337
8OH8,41.66811055,-80.68563501,300
SA27,-38.95833333,-67.80277777,290
4NE5,41.07166000,-101.66322806,1038
PABI,63.99446017,-145.71975317,393
8II0,38.85700416,-85.10134167,268
KBKT,37.07476064,-77.95739391,134
K88,37.87234375,-95.38466875,309
U78,42.64020825,-111.57923625,1780
KACP,30.75049050,-92.68699200,33
ME05,46.75004111,-68.47115417,244
88J,32.99511400,-81.27023600,49
EDFQ,51.03539001,8.68083200,355
VT26,44.63448972,-73.30679751,43
NM18,32.23258777,-107.71613945,1326
NC74,34.97377527,-79.07447528,122
85OR,42.40459500,-121.04887667,1344
5MA9,41.51121527,-71.02809528,18
KXLL,40.57039682,-75.48830570,121
EKAL,55.87227882,12.31333305,39
60KS,37.51390861,-97.00031417,384
68IN,41.12142777,-86.99752223,218
0G8,40.90561388,-81.06509528,328
KAIA,42.05353672,-102.80330114,1198
K98,42.76386527,-92.80436112,321
13TX,30.53129472,-100.45147834,716
4TS7,30.45016888,-102.92654584,1394
NJ02,39.54178083,-75.30435667,43
EDBT,51.37869700,11.43711950,284
CYTF,48.50875000,-71.64194600,136
4D9,40.11256851,-99.34653680,631
LELM,38.89521000,-1.11372000,2316
UAAA,43.35523456,77.04456951,681
HEAZ,30.09240400,31.36017050,91
SNYA,-1.49166700,-52.57805630,178
2C5,42.25253833,-85.85029084,226
SNAR,-16.16596550,-40.68443750,195
LEAM,36.84393450,-2.37009700,21
ESMU,56.57054900,14.16638660,146
SKRH,11.52622250,-72.92595800,13
SCDW,-53.60991825,-70.47586325,49
SAVT,-43.21049900,-65.27031950,43
M73,34.41260125,-91.46514075,64
FY04,-20.37470000,16.93920000,1565
